"","Accuracy","Precision","Recall","F1","AUC"
"Train RNA-seq",0.857142857142857,0.88135593220339,0.873949579831933,0.877637130801688,0.929271708683474
"Test RNA-seq",0.616438356164384,0.666666666666667,0.755555555555556,0.708333333333333,0.636507936507937
"Microarray",0.520547945205479,0.371428571428571,0.5,0.426229508196721,0.504909983633388
